epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.588,1.42298,3.61682,1.61801,0.00619,0.78113,0.07558,0.0425,1.07285,4.03623,1.52621,0.00013332,0.00013332,0.00013332
2,275.703,1.16733,3.15142,1.44458,0.00639,0.82389,0.10228,0.05869,1.0238,3.9297,1.4685,0.000268584,0.000268584,0.000268584
3,409.687,1.15062,2.72913,1.44581,0.00496,0.84447,0.14145,0.09038,0.9841,3.7624,1.38674,0.000394316,0.000394316,0.000394316
4,544.131,1.21634,2.50547,1.47305,0.43236,0.08524,0.18493,0.09813,1.3459,3.6135,1.67781,0.000510516,0.000510516,0.000510516
5,675.9,1.1906,2.37641,1.42692,0.41069,0.2253,0.26806,0.14522,1.40933,3.38379,1.77991,0.000617183,0.000617183,0.000617183
6,808.272,1.16193,2.10283,1.37173,0.44701,0.27141,0.30425,0.1726,1.42893,3.26982,1.90258,0.000714317,0.000714317,0.000714317
7,944.008,1.14967,2.17372,1.42529,0.32413,0.35036,0.32172,0.18091,1.36128,3.20273,1.75575,0.00080192,0.00080192,0.00080192
8,1076.04,1.17773,2.00652,1.38915,0.42762,0.49006,0.46085,0.25458,1.44004,2.96891,1.79935,0.000854359,0.000854359,0.000854359
9,1209.48,1.17498,2.06938,1.45343,0.46701,0.4001,0.36812,0.21888,1.36761,3.7583,1.73766,0.000817696,0.000817696,0.000817696
10,1342.14,1.11702,1.95038,1.35024,0.47727,0.33321,0.37524,0.23051,1.36763,3.02835,1.73876,0.000781033,0.000781033,0.000781033
11,1473.86,1.19055,1.91193,1.40849,0.43312,0.41932,0.3905,0.2211,1.48293,2.93547,1.85377,0.00074437,0.00074437,0.00074437
12,1605.73,1.13128,1.8106,1.34898,0.59861,0.46638,0.52879,0.30691,1.31796,2.65713,1.7013,0.000707707,0.000707707,0.000707707
13,1739.98,1.13843,1.82011,1.36299,0.60062,0.44314,0.55387,0.32128,1.36217,2.61079,1.74981,0.000671044,0.000671044,0.000671044
14,1873.06,1.07506,1.69907,1.31239,0.53792,0.67431,0.6202,0.36752,1.29301,2.47616,1.72307,0.000634381,0.000634381,0.000634381
15,2004.69,1.0488,1.54432,1.27763,0.57876,0.70023,0.64335,0.37025,1.22058,2.60386,1.61859,0.000597718,0.000597718,0.000597718
16,2136.56,1.05289,1.70267,1.32536,0.57874,0.51224,0.60337,0.37091,1.20932,2.50327,1.55384,0.000561055,0.000561055,0.000561055
17,2272.32,1.0594,1.53887,1.2708,0.61816,0.53301,0.64068,0.38975,1.24758,2.32171,1.557,0.000524392,0.000524392,0.000524392
18,2404.95,0.98603,1.3544,1.23963,0.70508,0.68237,0.73672,0.44184,1.17472,2.22511,1.50511,0.000487729,0.000487729,0.000487729
19,2538.34,1.01837,1.31815,1.24678,0.73213,0.61498,0.77279,0.46563,1.16169,2.26782,1.48622,0.000451066,0.000451066,0.000451066
20,2671.07,0.95053,1.4087,1.24769,0.78739,0.65262,0.76001,0.47955,1.11415,2.08067,1.4644,0.000414403,0.000414403,0.000414403
21,2804.61,0.91809,1.56495,1.25692,0.7108,0.69775,0.72723,0.47324,1.09096,2.08239,1.45729,0.00037774,0.00037774,0.00037774
22,2938.27,0.90537,1.53718,1.21616,0.79613,0.68483,0.76825,0.50486,1.07592,2.08878,1.45121,0.000341077,0.000341077,0.000341077
23,3071.87,0.88081,1.41535,1.23914,0.79686,0.74063,0.7832,0.50278,1.0391,1.90901,1.40587,0.000304414,0.000304414,0.000304414
24,3204.67,0.85969,1.37776,1.23614,0.78083,0.74479,0.78941,0.51877,1.03907,1.83838,1.42599,0.000267751,0.000267751,0.000267751
25,3336.35,0.81399,1.32288,1.16694,0.83384,0.75675,0.81544,0.53799,1.06158,1.78398,1.42699,0.000231088,0.000231088,0.000231088
26,3467.97,0.7862,1.30158,1.14637,0.81608,0.76342,0.82043,0.54276,1.03888,1.79234,1.39178,0.000194425,0.000194425,0.000194425
27,3600.86,0.79182,1.30256,1.16335,0.84995,0.77576,0.83345,0.55176,1.00259,1.71474,1.34648,0.000157762,0.000157762,0.000157762
28,3734.02,0.7772,1.21455,1.13537,0.82175,0.77177,0.81762,0.56151,0.97758,1.67061,1.321,0.000121099,0.000121099,0.000121099
29,3867,0.73038,1.1618,1.09969,0.83393,0.80106,0.83926,0.57487,0.97801,1.61934,1.31628,8.4436e-05,8.4436e-05,8.4436e-05
30,3998.87,0.72109,1.15767,1.09771,0.83353,0.82243,0.84529,0.57582,0.97054,1.59969,1.30688,4.7773e-05,4.7773e-05,4.7773e-05
